Region,Country,State,City,Month,Day,Year,AvgTemperature
North America,US,Missouri,Kansas City,6,21,2006,83.7
Europe,Russia,,Moscow,9,23,2012,53.1
South/Central America & Carribean,Cuba,,Havana,2,10,2009,70.1
North America,US,Maine,Portland,5,21,2005,50.1
Europe,Russia,,Moscow,4,10,1997,32.1
Africa,Mozambique,,Maputo,3,8,2002,77.2
Asia,Laos,,Vientiane,9,8,2013,79.9
Europe,France,,Bordeaux,9,16,2015,68.7
Europe,Bulgaria,,Sofia,12,26,2008,24.3
North America,US,Wyoming,Cheyenne,9,17,2013,63.5
North America,US,Montana,Billings,11,27,2001,12.4
North America,US,Georgia,Atlanta,9,29,2017,78.1
Europe,Croatia,,Zagreb,9,11,1999,69.9
Asia,India,,Bombay (Mumbai),6,26,2008,83.0
North America,US,Minnesota,Minneapolis St. Paul,3,20,2004,41.2
North America,US,Louisiana,New Orleans,4,15,2001,78.7
Europe,Ukraine,,Kiev,9,4,2019,59.8
South/Central America & Carribean,Barbados,,Bridgetown,1,29,1999,77.9
Africa,Senegal,,Dakar,10,16,2005,83.9
North America,US,Pennsylvania,Harrisburg,5,27,1995,67.3
Asia,India,,Bombay (Mumbai),4,22,2011,83.8
North America,US,Additional Territories,San Juan Puerto Rico,8,21,2004,84.2
North America,US,Indiana,South Bend,8,6,1997,63.0
Europe,Portugal,,Lisbon,9,17,2018,75.2
North America,US,Texas,Abilene,4,24,2011,66.1
North America,US,New York,Buffalo,11,17,1995,31.2
North America,US,Virginia,Norfolk,11,2,2010,50.9
North America,US,Alaska,Juneau,2,1,2016,30.0
Europe,The Netherlands,,Amsterdam,10,20,2010,44.1
Africa,Namibia,,Windhoek,5,8,2000,60.4
North America,US,North Dakota,Fargo,12,24,2016,17.8
North America,US,Hawaii,Honolulu,9,5,2001,81.0
Africa,Uganda,,Kampala,8,6,2000,66.9
North America,US,Pennsylvania,Allentown,5,28,2001,61.3
Europe,Poland,,Warsaw,4,1,2010,48.6
Asia,Uzbekistan,,Tashkent,1,8,2020,35.4
North America,US,South Dakota,Rapid City,10,22,1999,50.0
North America,US,New York,New York City,7,9,1998,71.4
North America,Mexico,,Guadalajara,4,4,2000,69.9
Middle East,Turkey,,Ankara,2,24,2016,44.2
South/Central America & Carribean,Venezuela,,Caracas,12,2,2004,77.7
Asia,Indonesia,,Jakarta,8,29,2008,82.2
Europe,Switzerland,,Geneva,2,5,2006,27.2
Asia,Myanmar (Burma),,Rangoon,7,5,2010,79.9
Asia,Malaysia,,Kuala Lumpur,11,17,2007,81.4
North America,US,New Jersey,Newark,5,24,2001,61.1
Asia,China,,Shenyang,10,19,2001,58.7
Asia,India,,Bombay (Mumbai),11,28,1999,82.2
Asia,South Korea,,Seoul,6,26,2006,69.6
Europe,Greece,,Athens,1,21,2000,43.1
North America,US,Delaware,Wilmington,7,29,2002,85.7
North America,US,Ohio,Cleveland,8,23,2017,69.6
Asia,Vietnam,,Hanoi,10,7,2010,81.4
North America,US,Wisconsin,Green Bay,6,20,2004,62.3
North America,Canada,,Quebec,6,1,2008,50.4
North America,US,Ohio,Cincinnati,1,24,1996,35.8
Middle East,Turkey,,Istanbul,1,16,2018,47.6
North America,US,Kansas,Wichita,7,25,2012,92.9
Asia,Bangladesh,,Dhaka,4,6,2009,-99.0
North America,US,Delaware,Wilmington,2,26,2008,41.1
North America,US,Michigan,Grand Rapids,10,7,2014,52.2
North America,US,New Hampshire,Concord,4,18,1995,47.9
North America,US,Texas,San Antonio,2,23,2005,68.3
Asia,Laos,,Vientiane,6,16,2004,80.6
North America,US,Pennsylvania,Harrisburg,4,27,2002,50.8
North America,US,Utah,Salt Lake City,8,31,2003,71.0
North America,US,Kansas,Wichita,12,10,2003,27.7
Africa,Burundi,,Bujumbura,7,1,1995,80.6
North America,US,Wisconsin,Green Bay,6,14,1999,61.7
North America,US,Texas,Waco,7,24,2006,84.5
Asia,Indonesia,,Jakarta,1,24,2012,84.2
Africa,Zambia,,Lusaka,1,29,1995,72.5
North America,US,New York,New York City,1,17,2020,29.3
North America,US,Washington,Seattle,1,14,1998,45.2
Africa,Guinea-Bissau,,Bissau,1,18,2009,75.1
Europe,Sweden,,Stockholm,1,6,2018,25.4
Asia,Myanmar (Burma),,Rangoon,6,20,2009,81.2
North America,US,New York,Buffalo,6,12,1998,69.4
North America,US,Rhode Island,Rhode Island,12,12,2002,39.3
North America,US,Montana,Great Falls,5,26,2018,68.1
North America,Canada,,Quebec,9,6,2018,70.9
Asia,China,,Guangzhou,7,29,2001,86.4
North America,US,Michigan,Grand Rapids,1,12,1999,12.1
Asia,China,,Guangzhou,5,21,2002,82.8
Asia,North Korea,,Pyongyang,10,15,2016,61.6
North America,US,Washington,Spokane,4,21,2007,43.7
North America,US,Texas,San Antonio,8,25,2005,86.8
